,VaR,ES
2023-02-28,0.019970657632581684,0.022959361309624032
2023-03-01,0.01890119042954529,0.02173411067985686
2023-03-02,0.018509678080452403,0.02128556887237952
2023-03-03,0.017985190053385922,0.020684681548631755
2023-03-06,0.021391519748824066,0.024587192623941618
2023-03-07,0.020622644365121814,0.023706319376572294
2023-03-08,0.02120367600901383,0.024371986715946627
2023-03-09,0.020199333533547286,0.023221347175927536
2023-03-10,0.021398759918654243,0.024595487429634456
2023-03-13,0.022338327551145395,0.025671916730271412
2023-03-14,0.021545069169758353,0.024763108747564638
2023-03-15,0.022809013401184727,0.026211164808703197
2023-03-16,0.021797504403871716,0.02505231483887317
2023-03-17,0.023434548606581847,0.026927818299505264
2023-03-20,0.0229324562286763,0.02635258887640239
2023-03-21,0.022267165846693828,0.025590389290302204
2023-03-22,0.022318608656840117,0.025649325492693244
2023-03-23,0.022623121628535938,0.025998195200229175
2023-03-24,0.021740306896430327,0.02498678568396809
2023-03-27,0.020799451097087054,0.02390888057627288
2023-03-28,0.0203976300374333,0.02344852844485954
2023-03-29,0.019387845515606513,0.022291654145409602
2023-03-30,0.020568335121728606,0.02364409920331146
2023-03-31,0.019955481395522945,0.022941974433279506
2023-04-03,0.020739475989680276,0.02384016922363685
2023-04-04,0.01974909044439666,0.022705519643335736
2023-04-05,0.018929592113229407,0.02176664948116055
2023-04-06,0.018467361367069658,0.021237088115256087
2023-04-10,0.017742766833522834,0.020406945866822984
2023-04-11,0.01748493018377285,0.020111551565262085
2023-04-12,0.01681952140628511,0.01934921633763219
2023-04-13,0.01635649972754866,0.01881874882833693
2023-04-14,0.019399933332396615,0.02230550272822966
2023-04-17,0.018525721076572372,0.021303948763827834
2023-04-18,0.01769835449705939,0.020356064228688808
2023-04-19,0.01691958265266037,0.01946385295742613
2023-04-20,0.0161665359127614,0.01860111402566113
2023-04-21,0.015869052006947278,0.01826029726951424
2023-04-24,0.015326728861274617,0.017638976883170305
2023-04-25,0.01474912908590078,0.016977241313794373
2023-04-26,0.016993861925907325,0.01954895208535272
2023-04-27,0.016399844641222874,0.0188684075580537
2023-04-28,0.02037734664096737,0.023425290477184477
2023-05-01,0.01975451068388119,0.022711729419402783
2023-05-02,0.019140233656356434,0.02200797402354835
2023-05-03,0.019327379152942487,0.0222223799790551
2023-05-04,0.018631270002015445,0.021424872422826636
2023-05-05,0.01798149248407824,0.020680445374665898
2023-05-08,0.022377565156984358,0.025716869863128832
2023-05-09,0.021112489566585717,0.02426751764415643
2023-05-10,0.02020697984223642,0.02323010728050125
2023-05-11,0.01973181675160405,0.022685729786374755
2023-05-12,0.018752169458570698,0.021563382640683026
2023-05-15,0.017922195480652204,0.02061251090170143
2023-05-16,0.017209893213034913,0.019796451466213564
2023-05-17,0.01668630613792116,0.019196596331152217
2023-05-18,0.01711736145121022,0.019690441109722706
2023-05-19,0.01803209950559567,0.020738424043678674
2023-05-22,0.0171716960285649,0.01975269030720435
2023-05-23,0.016412297315493127,0.0188826741451436
2023-05-24,0.017110048937815994,0.019682063422575294
2023-05-25,0.016602028861725775,0.01910004284597728
2023-05-26,0.017736098043035452,0.02039930567017062
2023-05-30,0.019315991976347095,0.022209334094847374
2023-05-31,0.018539400637627806,0.021319620951577512
2023-06-01,0.01778111288090977,0.020450877572794453
2023-06-02,0.018024725289035176,0.020729975665402904
2023-06-05,0.018227475605055284,0.02096225950887545
2023-06-06,0.017359300803507043,0.019967622441628453
2023-06-07,0.016467165470260683,0.018945534643335822
2023-06-08,0.01681913124607417,0.01934876934492142
2023-06-09,0.017158323494928632,0.01973736986987546
2023-06-12,0.01637365846441202,0.018838406984368408
2023-06-13,0.016936952527856486,0.019483753007154252
2023-06-14,0.016519727196143214,0.019005752747786687
2023-06-15,0.015838569178213458,0.018225374174166243
2023-06-16,0.016566145492843392,0.019058932543392516
2023-06-20,0.015954414774704852,0.018358094363858685
2023-06-21,0.015423065956169551,0.017749346874746327
2023-06-22,0.015411012459427073,0.017735537611187156
2023-06-23,0.01578494762396011,0.0181639418619537
2023-06-26,0.015698187168924994,0.018064543486885392
2023-06-27,0.015608015630248653,0.01796123715431476
2023-06-28,0.016633182460813724,0.019135734419121038
2023-06-29,0.015863212647326413,0.018253607322377397
2023-06-30,0.015428122792409753,0.017755140312609913
2023-07-03,0.017077756386411742,0.019645066992172833
2023-07-05,0.01635243534067205,0.018814092404497055
2023-07-06,0.015680854208207737,0.018044685728765972
2023-07-07,0.015592038915936893,0.017942933199582425
2023-07-10,0.015024043156083269,0.01729220061003704
2023-07-11,0.014589514400470844,0.01679437643183459
2023-07-12,0.014281120765727575,0.01644106078633132
2023-07-13,0.014908356526357419,0.01715966254292773
2023-07-14,0.0155217297526808,0.017862382485812664
2023-07-17,0.014805836319359134,0.01704220877919204
2023-07-18,0.015002858687729612,0.017267930316270285
2023-07-19,0.014921952082358594,0.01717523848906725
2023-07-20,0.014461542942469981,0.01664776407283694
2023-07-21,0.015892601088590787,0.018287276616830574
2023-07-24,0.015236927884834906,0.01753609509060661
2023-07-25,0.014697099040418196,0.016917632336713683
2023-07-26,0.014264171808494264,0.016421642967378993
2023-07-27,0.013713690347433798,0.015790975888552702
2023-07-28,0.014054653332787876,0.01618160508348853
2023-07-31,0.015397593944804456,0.017720164495073614
2023-08-01,0.014729001154552598,0.01695418145698881
2023-08-02,0.014461101423248508,0.016647258239930022
2023-08-03,0.016751790890625423,0.01927161988892308
2023-08-04,0.016462830067561912,0.018940567726284153
2023-08-07,0.019404369266295518,0.022310584820310467
2023-08-08,0.01933811137094743,0.022234675500443717
2023-08-09,0.018698989240145517,0.021502455951270195
2023-08-10,0.01840918299548454,0.021170435219102647
2023-08-11,0.017618409216813482,0.020264473757573745
2023-08-14,0.016806856785608337,0.01933470693106421
2023-08-15,0.016650959332520806,0.019156100750311513
2023-08-16,0.01709283064094979,0.019662337030761746
2023-08-17,0.016914124529939165,0.019457599779878924
2023-08-18,0.017005402678881516,0.019562173916568733
2023-08-21,0.016119293695092293,0.018546990293033958
2023-08-22,0.016449679051868678,0.01892550107420313
2023-08-23,0.01580272564999967,0.018184309515621937
2023-08-24,0.017576125456579036,0.02021603075370314
2023-08-25,0.019654672772247,0.022597348666297756
2023-08-28,0.019111817501342696,0.021975418642955758
2023-08-29,0.01845684279740216,0.02122503736318743
2023-08-30,0.020169729400361994,0.023187430770893323
2023-08-31,0.019607638765264206,0.022543463473266568
2023-09-01,0.01853925345436285,0.021319452328932925
2023-09-05,0.017812339779255816,0.02048665312229755
2023-09-06,0.01712993181007441,0.01970484252387643
